"","Date","ID","Breed","Sex","BirthDate","Age","Weight"
"8291",2019-01-20,36,"Brahman","female",2018-12-14,38,79.17
"8292",2019-01-20,31,"Brahman","female",2018-09-11,132,138.95
"8293",2019-01-20,13,"Belmont Red","female",2019-01-08,13,59.35
"8294",2019-01-20,46,"composite","male",2018-11-25,57,99.69
"8295",2019-01-20,22,"Brahman","male",2018-09-26,117,148.43
"8297",2019-01-20,58,"composite","female",2018-09-11,132,142
"8298",2019-01-20,53,"composite","female",2018-10-09,104,130.76
"8299",2019-01-20,23,"Brahman","male",2018-09-17,126,149.96
"8300",2019-01-20,40,"Brahman","female",2018-11-15,67,99.78
"8301",2019-01-20,56,"composite","female",2018-09-11,132,142
"8304",2019-01-20,25,"Brahman","male",2018-12-27,25,70.39
"8305",2019-01-20,34,"Brahman","female",2018-09-26,117,132.05
"8306",2019-01-20,51,"composite","female",2018-11-17,65,95.5
"8307",2019-01-20,60,"composite","female",2018-10-27,86,109.34
"8308",2019-01-20,38,"Brahman","female",2018-11-07,75,105.6
"8309",2019-01-20,49,"composite","male",2018-12-24,28,74.09
"8310",2019-01-20,18,"Belmont Red","female",2018-12-12,40,75.09
"8311",2019-01-20,50,"composite","male",2018-12-24,28,74.09
"8312",2019-01-20,15,"Belmont Red","female",2019-01-17,4,51.39
"8313",2019-01-20,35,"Brahman","female",2019-01-08,13,64.02
"8314",2019-01-20,57,"composite","female",2018-09-12,131,142
"8315",2019-01-20,21,"Brahman","male",2018-09-18,125,149.96
"8316",2019-01-20,14,"Belmont Red","female",2018-09-05,138,144.41
"8317",2019-01-20,59,"composite","female",2018-11-14,68,97.24
"8318",2019-01-20,54,"composite","female",2018-09-28,115,131.36
"8319",2019-01-20,19,"Belmont Red","female",2018-11-03,79,100.68
"8321",2019-01-20,2,"Belmont Red","male",2018-10-22,91,125.28
"8322",2019-01-20,39,"Brahman","female",2018-10-20,93,116.99
"8323",2019-01-20,32,"Brahman","female",2018-12-20,32,75.73
"8324",2019-01-20,6,"Belmont Red","male",2019-01-15,6,55.24
"8327",2019-01-20,10,"Belmont Red","male",2018-12-17,35,73.11
"8328",2019-01-20,8,"Belmont Red","male",2018-11-05,77,106.83
"8329",2019-01-20,28,"Brahman","male",2018-12-16,36,77.78
"8330",2019-01-20,33,"Brahman","female",2018-11-17,65,98.03
"8331",2019-01-20,52,"composite","female",2018-10-07,106,130.76
"8332",2019-01-20,12,"Belmont Red","female",2018-12-27,25,63.03
"8333",2019-01-20,9,"Belmont Red","male",2019-01-13,8,56.08
"8334",2019-01-20,11,"Belmont Red","female",2018-10-24,89,107.36
"8335",2019-01-20,5,"Belmont Red","male",2018-12-02,50,88.92
"8336",2019-01-20,4,"Belmont Red","male",2018-10-24,89,119.07
"8337",2019-01-20,7,"Belmont Red","male",2018-11-08,74,103.26
"8338",2019-01-20,1,"Belmont Red","male",2018-12-28,24,65.72
"8339",2019-01-20,42,"composite","male",2018-10-31,82,116.76
"8340",2019-01-20,20,"Belmont Red","female",2019-01-05,16,58.94
"8341",2019-01-21,54,"composite","female",2018-09-28,116,131.36
"8342",2019-01-21,37,"Brahman","female",2019-01-03,19,64.38
"8343",2019-01-21,20,"Belmont Red","female",2019-01-05,17,58.94
"8344",2019-01-21,13,"Belmont Red","female",2019-01-08,14,61.55
"8345",2019-01-21,59,"composite","female",2018-11-14,69,97.24
"8347",2019-01-21,36,"Brahman","female",2018-12-14,39,79.76
"8348",2019-01-21,35,"Brahman","female",2019-01-08,14,66.22
"8349",2019-01-21,46,"composite","male",2018-11-25,58,99.69
"8350",2019-01-21,33,"Brahman","female",2018-11-17,66,98.03
"8351",2019-01-21,28,"Brahman","male",2018-12-16,37,81.22
"8352",2019-01-21,50,"composite","male",2018-12-24,29,76.24
"8353",2019-01-21,14,"Belmont Red","female",2018-09-05,139,144.41
"8354",2019-01-21,4,"Belmont Red","male",2018-10-24,90,120.25
"8355",2019-01-21,12,"Belmont Red","female",2018-12-27,26,63.03
"8356",2019-01-21,26,"Brahman","male",2018-12-31,22,67.07
"8357",2019-01-21,16,"Belmont Red","female",2018-10-17,97,120.75
"8358",2019-01-21,60,"composite","female",2018-10-27,87,109.34
"8359",2019-01-21,7,"Belmont Red","male",2018-11-08,75,106.83
"8360",2019-01-21,10,"Belmont Red","male",2018-12-17,36,73.11
"8361",2019-01-21,9,"Belmont Red","male",2019-01-13,9,56.08
"8362",2019-01-21,5,"Belmont Red","male",2018-12-02,51,88.92
"8364",2019-01-21,57,"composite","female",2018-09-12,132,142
"8365",2019-01-21,22,"Brahman","male",2018-09-26,118,148.43
"8366",2019-01-21,49,"composite","male",2018-12-24,29,76.24
"8367",2019-01-21,31,"Brahman","female",2018-09-11,133,138.95
"8368",2019-01-21,8,"Belmont Red","male",2018-11-05,78,106.83
"8369",2019-01-21,58,"composite","female",2018-09-11,133,142
"8370",2019-01-21,19,"Belmont Red","female",2018-11-03,80,100.68
"8371",2019-01-21,3,"Belmont Red","male",2018-09-26,118,143.76
"8372",2019-01-21,34,"Brahman","female",2018-09-26,118,132.05
"8373",2019-01-21,56,"composite","female",2018-09-11,133,142
"8374",2019-01-21,2,"Belmont Red","male",2018-10-22,92,125.28
"8375",2019-01-21,42,"composite","male",2018-10-31,83,116.76
"8376",2019-01-21,44,"composite","male",2019-01-04,18,70
"8378",2019-01-21,55,"composite","female",2018-09-26,118,131.36
"8379",2019-01-21,30,"Brahman","male",2018-12-11,42,84.72
"8380",2019-01-21,51,"composite","female",2018-11-17,66,95.5
"8381",2019-01-21,23,"Brahman","male",2018-09-17,127,149.96
"8382",2019-01-21,45,"composite","male",2018-12-16,37,83.08
"8383",2019-01-21,1,"Belmont Red","male",2018-12-28,25,65.72
"8384",2019-01-21,27,"Brahman","male",2018-09-22,122,148.9
"8385",2019-01-21,32,"Brahman","female",2018-12-20,33,75.73
"8386",2019-01-21,53,"composite","female",2018-10-09,105,130.76
"8387",2019-01-21,38,"Brahman","female",2018-11-07,76,105.6
"8388",2019-01-21,11,"Belmont Red","female",2018-10-24,90,108.54
"8389",2019-01-21,6,"Belmont Red","male",2019-01-15,7,56.08
"8390",2019-01-21,40,"Brahman","female",2018-11-15,68,99.78
"8392",2019-01-21,25,"Brahman","male",2018-12-27,26,70.39
"8394",2019-01-21,21,"Brahman","male",2018-09-18,126,149.96
"8395",2019-01-21,24,"Brahman","male",2018-09-04,140,164.76
"8396",2019-01-21,15,"Belmont Red","female",2019-01-17,5,51.39
"8398",2019-01-21,39,"Brahman","female",2018-10-20,94,122.66
"8399",2019-01-21,52,"composite","female",2018-10-07,107,130.76
"8400",2019-01-21,18,"Belmont Red","female",2018-12-12,41,78
"8401",2019-01-22,22,"Brahman","male",2018-09-26,119,148.43
"8402",2019-01-22,4,"Belmont Red","male",2018-10-24,91,125.28
"8403",2019-01-22,5,"Belmont Red","male",2018-12-02,52,88.92
"8404",2019-01-22,8,"Belmont Red","male",2018-11-05,79,106.83
"8405",2019-01-22,58,"composite","female",2018-09-11,134,146.01
"8406",2019-01-22,28,"Brahman","male",2018-12-16,38,81.22
"8407",2019-01-22,34,"Brahman","female",2018-09-26,119,132.05
"8408",2019-01-22,27,"Brahman","male",2018-09-22,123,149.96
"8409",2019-01-22,40,"Brahman","female",2018-11-15,69,99.78
"8410",2019-01-22,51,"composite","female",2018-11-17,67,97.24
"8412",2019-01-22,7,"Belmont Red","male",2018-11-08,76,106.83
"8413",2019-01-22,25,"Brahman","male",2018-12-27,27,70.39
"8414",2019-01-22,9,"Belmont Red","male",2019-01-13,10,56.08
"8416",2019-01-22,49,"composite","male",2018-12-24,30,76.24
"8417",2019-01-22,15,"Belmont Red","female",2019-01-17,6,51.39
"8418",2019-01-22,56,"composite","female",2018-09-11,134,146.01
"8419",2019-01-22,23,"Brahman","male",2018-09-17,128,149.96
"8420",2019-01-22,10,"Belmont Red","male",2018-12-17,37,76.55
"8421",2019-01-22,52,"composite","female",2018-10-07,108,130.76
"8422",2019-01-22,45,"composite","male",2018-12-16,38,83.08
"8423",2019-01-22,2,"Belmont Red","male",2018-10-22,93,127.37
"8424",2019-01-22,3,"Belmont Red","male",2018-09-26,119,143.76
"8425",2019-01-22,31,"Brahman","female",2018-09-11,134,142.96
"8426",2019-01-22,35,"Brahman","female",2019-01-08,15,66.22
"8427",2019-01-22,14,"Belmont Red","female",2018-09-05,140,144.41
"8428",2019-01-22,42,"composite","male",2018-10-31,84,116.76
"8430",2019-01-22,38,"Brahman","female",2018-11-07,77,105.6
"8431",2019-01-22,18,"Belmont Red","female",2018-12-12,42,78
"8433",2019-01-22,33,"Brahman","female",2018-11-17,67,99.78
"8434",2019-01-22,19,"Belmont Red","female",2018-11-03,81,101.94
"8435",2019-01-22,37,"Brahman","female",2019-01-03,20,64.38
"8436",2019-01-22,50,"composite","male",2018-12-24,30,76.24
"8437",2019-01-22,12,"Belmont Red","female",2018-12-27,27,63.03
"8438",2019-01-22,39,"Brahman","female",2018-10-20,95,122.66
"8439",2019-01-22,32,"Brahman","female",2018-12-20,34,75.73
"8440",2019-01-22,54,"composite","female",2018-09-28,117,131.36
"8441",2019-01-22,30,"Brahman","male",2018-12-11,43,86.35
"8442",2019-01-22,6,"Belmont Red","male",2019-01-15,8,56.08
"8443",2019-01-22,24,"Brahman","male",2018-09-04,141,172.94
"8444",2019-01-22,26,"Brahman","male",2018-12-31,23,67.07
"8445",2019-01-22,57,"composite","female",2018-09-12,133,142
"8446",2019-01-22,13,"Belmont Red","female",2019-01-08,15,61.55
"8447",2019-01-22,21,"Brahman","male",2018-09-18,127,149.96
"8448",2019-01-22,46,"composite","male",2018-11-25,59,99.69
"8449",2019-01-22,16,"Belmont Red","female",2018-10-17,98,120.75
"8450",2019-01-22,53,"composite","female",2018-10-09,106,130.76
"8451",2019-01-22,59,"composite","female",2018-11-14,70,97.24
"8452",2019-01-22,60,"composite","female",2018-10-27,88,109.34
"8453",2019-01-22,55,"composite","female",2018-09-26,119,131.36
"8455",2019-01-22,11,"Belmont Red","female",2018-10-24,91,109.98
"8456",2019-01-22,44,"composite","male",2019-01-04,19,70.77
"8458",2019-01-22,36,"Brahman","female",2018-12-14,40,79.76
"8459",2019-01-22,1,"Belmont Red","male",2018-12-28,26,65.72
"8460",2019-01-22,20,"Belmont Red","female",2019-01-05,18,58.94
"8461",2019-01-23,54,"composite","female",2018-09-28,118,131.36
"8462",2019-01-23,12,"Belmont Red","female",2018-12-27,28,63.03
"8463",2019-01-23,37,"Brahman","female",2019-01-03,21,64.38
"8464",2019-01-23,8,"Belmont Red","male",2018-11-05,80,106.83
"8466",2019-01-23,14,"Belmont Red","female",2018-09-05,141,152.59
"8467",2019-01-23,52,"composite","female",2018-10-07,109,130.76
"8468",2019-01-23,26,"Brahman","male",2018-12-31,24,70.39
"8469",2019-01-23,24,"Brahman","male",2018-09-04,142,172.02
"8470",2019-01-23,39,"Brahman","female",2018-10-20,96,125.67
"8471",2019-01-23,40,"Brahman","female",2018-11-15,70,99.78
"8472",2019-01-23,31,"Brahman","female",2018-09-11,135,142.96
"8473",2019-01-23,51,"composite","female",2018-11-17,68,97.24
"8474",2019-01-23,56,"composite","female",2018-09-11,135,146.01
"8475",2019-01-23,6,"Belmont Red","male",2019-01-15,9,56.08
"8476",2019-01-23,38,"Brahman","female",2018-11-07,78,105.6
"8477",2019-01-23,21,"Brahman","male",2018-09-18,128,149.96
"8479",2019-01-23,27,"Brahman","male",2018-09-22,124,149.96
"8481",2019-01-23,20,"Belmont Red","female",2019-01-05,19,59.71
"8482",2019-01-23,30,"Brahman","male",2018-12-11,44,86.35
"8483",2019-01-23,13,"Belmont Red","female",2019-01-08,16,58.94
"8484",2019-01-23,34,"Brahman","female",2018-09-26,120,132.05
"8485",2019-01-23,16,"Belmont Red","female",2018-10-17,99,125.9
"8486",2019-01-23,10,"Belmont Red","male",2018-12-17,38,76.55
"8487",2019-01-23,44,"composite","male",2019-01-04,20,70.77
"8488",2019-01-23,5,"Belmont Red","male",2018-12-02,53,88.92
"8489",2019-01-23,2,"Belmont Red","male",2018-10-22,94,133.04
"8490",2019-01-23,32,"Brahman","female",2018-12-20,35,75.73
"8491",2019-01-23,50,"composite","male",2018-12-24,31,76.08
"8492",2019-01-23,18,"Belmont Red","female",2018-12-12,43,79.63
"8493",2019-01-23,15,"Belmont Red","female",2019-01-17,7,53.4
"8495",2019-01-23,19,"Belmont Red","female",2018-11-03,82,101.94
"8496",2019-01-23,3,"Belmont Red","male",2018-09-26,120,143.76
"8497",2019-01-23,36,"Brahman","female",2018-12-14,41,82.67
"8498",2019-01-23,35,"Brahman","female",2019-01-08,16,63.61
"8499",2019-01-23,49,"composite","male",2018-12-24,31,76.08
"8500",2019-01-23,1,"Belmont Red","male",2018-12-28,27,65.72
"8501",2019-01-23,53,"composite","female",2018-10-09,107,130.76
"8502",2019-01-23,55,"composite","female",2018-09-26,120,131.36
"8503",2019-01-23,57,"composite","female",2018-09-12,134,146.01
"8504",2019-01-23,11,"Belmont Red","female",2018-10-24,92,109.98
"8505",2019-01-23,45,"composite","male",2018-12-16,39,82.8
"8507",2019-01-23,4,"Belmont Red","male",2018-10-24,92,125.28
"8508",2019-01-23,42,"composite","male",2018-10-31,85,125.89
"8509",2019-01-23,60,"composite","female",2018-10-27,89,109.34
"8510",2019-01-23,9,"Belmont Red","male",2019-01-13,11,56.08
"8511",2019-01-23,7,"Belmont Red","male",2018-11-08,77,106.83
"8512",2019-01-23,28,"Brahman","male",2018-12-16,39,81.81
"8513",2019-01-23,33,"Brahman","female",2018-11-17,68,99.78
"8514",2019-01-23,23,"Brahman","male",2018-09-17,129,154.38
"8515",2019-01-23,22,"Brahman","male",2018-09-26,120,148.43
"8516",2019-01-23,58,"composite","female",2018-09-11,135,146.01
"8517",2019-01-23,25,"Brahman","male",2018-12-27,28,70.39
"8518",2019-01-23,59,"composite","female",2018-11-14,71,97.24
"8520",2019-01-23,46,"composite","male",2018-11-25,60,99.69
"8521",2019-01-24,58,"composite","female",2018-09-11,136,146.01
"8522",2019-01-24,45,"composite","male",2018-12-16,40,82.8
"8523",2019-01-24,12,"Belmont Red","female",2018-12-27,29,65.73
"8524",2019-01-24,9,"Belmont Red","male",2019-01-13,12,60.72
"8525",2019-01-24,16,"Belmont Red","female",2018-10-17,100,126.56
"8526",2019-01-24,38,"Brahman","female",2018-11-07,79,105.6
"8527",2019-01-24,51,"composite","female",2018-11-17,69,97.24
"8528",2019-01-24,40,"Brahman","female",2018-11-15,71,99.78
"8529",2019-01-24,14,"Belmont Red","female",2018-09-05,142,149.73
"8530",2019-01-24,6,"Belmont Red","male",2019-01-15,10,56.08
"8531",2019-01-24,34,"Brahman","female",2018-09-26,121,132.05
"8532",2019-01-24,52,"composite","female",2018-10-07,110,131.36
"8534",2019-01-24,18,"Belmont Red","female",2018-12-12,44,79.63
"8535",2019-01-24,32,"Brahman","female",2018-12-20,36,75.73
"8536",2019-01-24,27,"Brahman","male",2018-09-22,125,149.96
"8537",2019-01-24,28,"Brahman","male",2018-12-16,40,81.81
"8538",2019-01-24,23,"Brahman","male",2018-09-17,130,154.38
"8539",2019-01-24,42,"composite","male",2018-10-31,86,125.89
"8540",2019-01-24,44,"composite","male",2019-01-04,21,70.77
"8541",2019-01-24,26,"Brahman","male",2018-12-31,25,70.39
"8542",2019-01-24,41,"composite","male",2019-01-24,1,64.15
"8543",2019-01-24,33,"Brahman","female",2018-11-17,69,99.78
"8544",2019-01-24,13,"Belmont Red","female",2019-01-08,17,58.94
"8545",2019-01-24,56,"composite","female",2018-09-11,136,146.01
"8546",2019-01-24,37,"Brahman","female",2019-01-03,22,64.38
"8548",2019-01-24,59,"composite","female",2018-11-14,72,97.24
"8549",2019-01-24,55,"composite","female",2018-09-26,121,131.36
"8550",2019-01-24,49,"composite","male",2018-12-24,32,79.64
"8551",2019-01-24,57,"composite","female",2018-09-12,135,146.01
"8552",2019-01-24,7,"Belmont Red","male",2018-11-08,78,106.83
"8553",2019-01-24,15,"Belmont Red","female",2019-01-17,8,53.4
"8554",2019-01-24,8,"Belmont Red","male",2018-11-05,81,109.94
"8555",2019-01-24,2,"Belmont Red","male",2018-10-22,95,133.04
"8556",2019-01-24,24,"Brahman","male",2018-09-04,143,178.05
"8557",2019-01-24,5,"Belmont Red","male",2018-12-02,54,88.92
"8558",2019-01-24,25,"Brahman","male",2018-12-27,29,73.09
"8559",2019-01-24,46,"composite","male",2018-11-25,61,99.69
"8560",2019-01-24,3,"Belmont Red","male",2018-09-26,121,143.76
"8561",2019-01-24,20,"Belmont Red","female",2019-01-05,20,59.71
"8562",2019-01-24,1,"Belmont Red","male",2018-12-28,28,65.72
"8563",2019-01-24,60,"composite","female",2018-10-27,90,110.51
"8564",2019-01-24,10,"Belmont Red","male",2018-12-17,39,77.14
"8565",2019-01-24,19,"Belmont Red","female",2018-11-03,83,101.94
"8566",2019-01-24,11,"Belmont Red","female",2018-10-24,93,112.07
"8567",2019-01-24,39,"Brahman","female",2018-10-20,97,125.67
"8568",2019-01-24,54,"composite","female",2018-09-28,119,131.36
"8569",2019-01-24,53,"composite","female",2018-10-09,108,130.76
"8572",2019-01-24,30,"Brahman","male",2018-12-11,45,87.49
"8573",2019-01-24,31,"Brahman","female",2018-09-11,136,142.96
"8574",2019-01-24,50,"composite","male",2018-12-24,32,79.64
"8575",2019-01-24,21,"Brahman","male",2018-09-18,129,154.38
"8576",2019-01-24,22,"Brahman","male",2018-09-26,121,148.43
"8578",2019-01-24,4,"Belmont Red","male",2018-10-24,93,127.37
"8579",2019-01-24,35,"Brahman","female",2019-01-08,17,63.61
"8580",2019-01-24,36,"Brahman","female",2018-12-14,42,82.67
"8581",2019-01-25,26,"Brahman","male",2018-12-31,26,70.39
"8582",2019-01-25,1,"Belmont Red","male",2018-12-28,29,68.42
"8583",2019-01-25,36,"Brahman","female",2018-12-14,43,84.3
"8584",2019-01-25,15,"Belmont Red","female",2019-01-17,9,53.4
"8585",2019-01-25,27,"Brahman","male",2018-09-22,126,149.96
"8586",2019-01-25,57,"composite","female",2018-09-12,136,146.01
"8587",2019-01-25,30,"Brahman","male",2018-12-11,46,87.49
"8588",2019-01-25,59,"composite","female",2018-11-14,73,97.93
"8589",2019-01-25,31,"Brahman","female",2018-09-11,137,149.33
"8590",2019-01-25,55,"composite","female",2018-09-26,122,133.03
"8591",2019-01-25,20,"Belmont Red","female",2019-01-05,21,59.71
"8592",2019-01-25,4,"Belmont Red","male",2018-10-24,94,133.04
"8593",2019-01-25,5,"Belmont Red","male",2018-12-02,55,91.49
"8594",2019-01-25,14,"Belmont Red","female",2018-09-05,143,155.75
"8595",2019-01-25,32,"Brahman","female",2018-12-20,37,79.17
"8596",2019-01-25,58,"composite","female",2018-09-11,137,152.38
"8597",2019-01-25,35,"Brahman","female",2019-01-08,18,63.61
"8598",2019-01-25,25,"Brahman","male",2018-12-27,30,73.09
"8599",2019-01-25,46,"composite","male",2018-11-25,62,99.69
"8600",2019-01-25,12,"Belmont Red","female",2018-12-27,30,65.73
"8602",2019-01-25,53,"composite","female",2018-10-09,109,130.76
"8604",2019-01-25,22,"Brahman","male",2018-09-26,122,148.9
"8605",2019-01-25,39,"Brahman","female",2018-10-20,98,125.67
"8606",2019-01-25,60,"composite","female",2018-10-27,91,111.96
"8607",2019-01-25,3,"Belmont Red","male",2018-09-26,122,144.22
"8608",2019-01-25,48,"composite","male",2019-01-25,1,64.15
"8609",2019-01-25,19,"Belmont Red","female",2018-11-03,84,101.94
"8610",2019-01-25,23,"Brahman","male",2018-09-17,131,154.38
"8611",2019-01-25,16,"Belmont Red","female",2018-10-17,101,126.56
"8612",2019-01-25,33,"Brahman","female",2018-11-17,70,99.78
"8614",2019-01-25,50,"composite","male",2018-12-24,33,79.64
"8615",2019-01-25,7,"Belmont Red","male",2018-11-08,79,106.83
"8616",2019-01-25,6,"Belmont Red","male",2019-01-15,11,56.08
"8617",2019-01-25,38,"Brahman","female",2018-11-07,80,105.6
"8618",2019-01-25,40,"Brahman","female",2018-11-15,72,99.78
"8619",2019-01-25,44,"composite","male",2019-01-04,22,70.77
"8620",2019-01-25,45,"composite","male",2018-12-16,41,85.71
"8621",2019-01-25,11,"Belmont Red","female",2018-10-24,94,117.74
"8622",2019-01-25,52,"composite","female",2018-10-07,111,131.36
"8623",2019-01-25,21,"Brahman","male",2018-09-18,130,154.38
"8624",2019-01-25,24,"Brahman","male",2018-09-04,144,185.35
"8625",2019-01-25,51,"composite","female",2018-11-17,70,97.24
"8626",2019-01-25,13,"Belmont Red","female",2019-01-08,18,58.94
"8627",2019-01-25,28,"Brahman","male",2018-12-16,41,84.72
"8628",2019-01-25,49,"composite","male",2018-12-24,33,79.64
"8629",2019-01-25,10,"Belmont Red","male",2018-12-17,40,77.14
"8630",2019-01-25,42,"composite","male",2018-10-31,87,125.89
"8631",2019-01-25,2,"Belmont Red","male",2018-10-22,96,136.05
"8632",2019-01-25,56,"composite","female",2018-09-11,137,152.38
"8633",2019-01-25,37,"Brahman","female",2019-01-03,23,64.38
"8634",2019-01-25,9,"Belmont Red","male",2019-01-13,13,62.03
"8636",2019-01-25,18,"Belmont Red","female",2018-12-12,45,80.77
"8637",2019-01-25,41,"composite","male",2019-01-24,2,62.69
"8638",2019-01-25,8,"Belmont Red","male",2018-11-05,82,109.94
"8639",2019-01-25,34,"Brahman","female",2018-09-26,122,132.52
"8640",2019-01-25,54,"composite","female",2018-09-28,120,131.36
"8641",2019-01-26,42,"composite","male",2018-10-31,88,125.89
"8642",2019-01-26,26,"Brahman","male",2018-12-31,27,70.39
"8643",2019-01-26,6,"Belmont Red","male",2019-01-15,12,60.72
"8644",2019-01-26,34,"Brahman","female",2018-09-26,123,133.58
"8645",2019-01-26,13,"Belmont Red","female",2019-01-08,19,59.71
"8646",2019-01-26,54,"composite","female",2018-09-28,121,131.36
"8647",2019-01-26,46,"composite","male",2018-11-25,63,101.95
"8648",2019-01-26,4,"Belmont Red","male",2018-10-24,95,133.04
"8651",2019-01-26,10,"Belmont Red","male",2018-12-17,41,80.05
"8652",2019-01-26,25,"Brahman","male",2018-12-27,31,73.49
"8653",2019-01-26,28,"Brahman","male",2018-12-16,42,84.72
"8654",2019-01-26,18,"Belmont Red","female",2018-12-12,46,80.77
"8655",2019-01-26,1,"Belmont Red","male",2018-12-28,30,68.42
"8656",2019-01-26,31,"Brahman","female",2018-09-11,138,149.33
"8657",2019-01-26,52,"composite","female",2018-10-07,112,131.36
"8658",2019-01-26,14,"Belmont Red","female",2018-09-05,144,163.05
"8659",2019-01-26,16,"Belmont Red","female",2018-10-17,102,126.56
"8660",2019-01-26,57,"composite","female",2018-09-12,137,152.38
"8661",2019-01-26,45,"composite","male",2018-12-16,42,85.71
"8662",2019-01-26,19,"Belmont Red","female",2018-11-03,85,107.36
"8663",2019-01-26,32,"Brahman","female",2018-12-20,38,79.17
"8664",2019-01-26,30,"Brahman","male",2018-12-11,47,88.6
"8665",2019-01-26,21,"Brahman","male",2018-09-18,131,154.38
"8666",2019-01-26,9,"Belmont Red","male",2019-01-13,14,64.24
"8667",2019-01-26,44,"composite","male",2019-01-04,23,70.77
"8668",2019-01-26,7,"Belmont Red","male",2018-11-08,80,106.83
"8669",2019-01-26,8,"Belmont Red","male",2018-11-05,83,109.94
"8670",2019-01-26,56,"composite","female",2018-09-11,138,152.38
"8671",2019-01-26,43,"composite","male",2019-01-26,1,64.15
"8673",2019-01-26,3,"Belmont Red","male",2018-09-26,123,145.29
"8674",2019-01-26,55,"composite","female",2018-09-26,123,135.34
"8675",2019-01-26,20,"Belmont Red","female",2019-01-05,22,59.71
"8676",2019-01-26,11,"Belmont Red","female",2018-10-24,95,117.74
"8677",2019-01-26,5,"Belmont Red","male",2018-12-02,56,92.87
"8678",2019-01-26,24,"Brahman","male",2018-09-04,145,193.11
"8679",2019-01-26,39,"Brahman","female",2018-10-20,99,130.82
"8680",2019-01-26,2,"Belmont Red","male",2018-10-22,97,136.05
"8681",2019-01-26,33,"Brahman","female",2018-11-17,71,99.78
"8682",2019-01-26,22,"Brahman","male",2018-09-26,123,149.96
"8683",2019-01-26,37,"Brahman","female",2019-01-03,24,67.7
"8684",2019-01-26,60,"composite","female",2018-10-27,92,111.96
"8685",2019-01-26,12,"Belmont Red","female",2018-12-27,31,66.13
"8686",2019-01-26,53,"composite","female",2018-10-09,110,131.36
"8687",2019-01-26,58,"composite","female",2018-09-11,138,152.38
"8688",2019-01-26,41,"composite","male",2019-01-24,3,62.69
"8689",2019-01-26,38,"Brahman","female",2018-11-07,81,106.86
"8690",2019-01-26,27,"Brahman","male",2018-09-22,127,149.96
"8691",2019-01-26,15,"Belmont Red","female",2019-01-17,10,53.4
"8692",2019-01-26,51,"composite","female",2018-11-17,71,97.24
"8693",2019-01-26,59,"composite","female",2018-11-14,74,100.67
"8694",2019-01-26,48,"composite","male",2019-01-25,2,62.69
"8695",2019-01-26,50,"composite","male",2018-12-24,34,79.64
"8696",2019-01-26,49,"composite","male",2018-12-24,34,79.64
"8697",2019-01-26,23,"Brahman","male",2018-09-17,132,154.38
"8698",2019-01-26,36,"Brahman","female",2018-12-14,44,84.3
"8699",2019-01-26,35,"Brahman","female",2019-01-08,19,64.38
"8700",2019-01-26,40,"Brahman","female",2018-11-15,73,100.87
"8701",2019-01-27,46,"composite","male",2018-11-25,64,103.53
"8702",2019-01-27,43,"composite","male",2019-01-26,2,62.69
"8703",2019-01-27,14,"Belmont Red","female",2018-09-05,145,172.83
"8705",2019-01-27,7,"Belmont Red","male",2018-11-08,81,109.94
"8706",2019-01-27,4,"Belmont Red","male",2018-10-24,96,136.05
"8707",2019-01-27,2,"Belmont Red","male",2018-10-22,98,136.05
"8708",2019-01-27,18,"Belmont Red","female",2018-12-12,47,81.88
"8709",2019-01-27,57,"composite","female",2018-09-12,138,152.38
"8710",2019-01-27,5,"Belmont Red","male",2018-12-02,57,92.87
"8711",2019-01-27,33,"Brahman","female",2018-11-17,72,99.78
"8712",2019-01-27,27,"Brahman","male",2018-09-22,128,149.96
"8713",2019-01-27,32,"Brahman","female",2018-12-20,39,79.76
"8714",2019-01-27,53,"composite","female",2018-10-09,111,131.36
"8715",2019-01-27,16,"Belmont Red","female",2018-10-17,103,127.35
"8716",2019-01-27,42,"composite","male",2018-10-31,89,125.89
"8717",2019-01-27,34,"Brahman","female",2018-09-26,124,133.58
"8718",2019-01-27,10,"Belmont Red","male",2018-12-17,42,80.05
"8719",2019-01-27,51,"composite","female",2018-11-17,72,97.24
"8720",2019-01-27,44,"composite","male",2019-01-04,24,74.09
"8721",2019-01-27,38,"Brahman","female",2018-11-07,82,106.86
"8722",2019-01-27,45,"composite","male",2018-12-16,43,87.34
"8723",2019-01-27,59,"composite","female",2018-11-14,75,102.65
"8724",2019-01-27,41,"composite","male",2019-01-24,4,62.69
"8725",2019-01-27,24,"Brahman","male",2018-09-04,146,193.11
"8726",2019-01-27,35,"Brahman","female",2019-01-08,20,64.38
"8727",2019-01-27,52,"composite","female",2018-10-07,113,131.36
"8728",2019-01-27,26,"Brahman","male",2018-12-31,28,70.39
"8729",2019-01-27,21,"Brahman","male",2018-09-18,132,154.38
"8730",2019-01-27,56,"composite","female",2018-09-11,139,152.38
"8731",2019-01-27,6,"Belmont Red","male",2019-01-15,13,62.03
"8732",2019-01-27,31,"Brahman","female",2018-09-11,139,149.33
"8733",2019-01-27,60,"composite","female",2018-10-27,93,114.04
"8734",2019-01-27,11,"Belmont Red","female",2018-10-24,96,120.75
"8735",2019-01-27,55,"composite","female",2018-09-26,124,135.34
"8736",2019-01-27,15,"Belmont Red","female",2019-01-17,11,53.4
"8737",2019-01-27,48,"composite","male",2019-01-25,3,62.69
